,vel 0,Pres 0,FMat 0,FMatRem 0,Visc 0,vel 1,Pres 1,FMat 1,FMatRem 1,Visc 1,vel 2,Pres 2,FMat 2,FMatRem 2,Visc 2
22,-5.475958797020627e-07,110553.83001231613,-0.009405777854806929,-0.005111611277218491,0.002,-1.9998755069557826e-06,121239.73484957387,-0.005110611339465013,-0.004420531516407749,0.002,-2.150639436587833e-06,131102.99629829993,-0.004419456196689455,-0.0036164820086207797,0.002
23,-5.519792246078671e-07,110399.22480421295,-0.009462343443522904,-0.005211482821468686,0.002,-1.983794569182815e-06,121034.76370915106,-0.005210490924184095,-0.00452039881244426,0.002,-2.137175617148158e-06,130880.47079395363,-0.004519330224635686,-0.0037163458141525585,0.002
24,-5.559131651873309e-07,110246.98756630646,-0.009519623585899644,-0.005311354365718882,0.002,-1.9678184046993823e-06,120831.46357049908,-0.005310370456516532,-0.004620266108480771,0.002,-2.1240301507769793e-06,130659.3579256397,-0.004619204093405382,-0.0038162096196843374,0.002
25,-5.594172860083194e-07,110097.07964276672,-0.009577605455669802,-0.005411225909969077,0.002,-1.951954349454996e-06,120629.82238086735,-0.005410249932794349,-0.004720133404517281,0.002,-2.1111992954618035e-06,130439.62438995804,-0.004719077804869551,-0.003916073425216113,0.002
26,-5.625105709878167e-07,109949.46279476344,-0.009636276380248627,-0.005511097454219274,0.002,-1.93620856209506e-06,120429.82746696238,-0.005510129349938226,-0.004820000700553794,0.002,-2.0986781696803947e-06,130221.23740913084,-0.004818951361468954,-0.004015937230747894,0.002
27,-5.652114006967478e-07,109804.0992216631,-0.00969562384522927,-0.0056109689984694695,0.002,-1.9205861383580016e-06,120231.46564417992,-0.005610008705400291,-0.004919867996590304,0.002,-2.086460906397086e-06,130004.16483181033,-0.004918824766137106,-0.004115801036279672,0.002
28,-5.675375522630713e-07,109660.95157986596,-0.009755635498386048,-0.005710840542719665,0.002,-1.9050912158311904e-06,120034.72331498066,-0.005709887997111749,-0.005019735292626816,0.002,-2.074540792288315e-06,129788.37521948043,-0.0050186980222306716,-0.004215664841811449,0.002
29,-5.695062015953329e-07,109519.98299943533,-0.009816299153207642,-0.005810712086969861,0.002,-1.8897270698622843e-06,119839.58655733464,-0.00580976722343493,-0.005119602588663331,0.002,-2.0629103935015664e-06,129573.83791985622,-0.00511857113346658,-0.004315528647343228,0.002
30,-5.711339276670694e-07,109381.15709866089,-0.009877602791982198,-0.005910583631220056,0.002,-1.8744962013555996e-06,119646.04120408121,-0.005909646383119378,-0.0052194698846998394,0.002,-2.051561669140012e-06,129360.5231285598,-0.00521844410386527,-0.004415392452875006,0.002
31,-5.72436718623871e-07,109244.43799669121,-0.00993953456845617,-0.006010455175470252,0.002,-1.8594004171203887e-06,119454.07291398241,-0.006009525475261691,-0.005319337180736351,0.002,-2.0404860735582192e-06,129148.4019402373,-0.005318316937699572,-0.0045152562584067826,0.002
