,vel 0,Pres 0,FMat 0,FMatRem 0,Visc 0,vel 1,Pres 1,FMat 1,FMatRem 1,Visc 1
1678,-6.867317539214402e-08,321265.5725358164,-0.17106375508241603,-0.17049905781302763,0.002,-6.873303042406683e-08,321366.3833805325,-0.1704990234465124,-0.16980091760979937,0.002
1679,-6.854888197502403e-08,321260.4675233431,-0.17116365173760847,-0.1705989294040856,0.002,-6.86109200670213e-08,321361.27944890223,-0.17059889509862558,-0.16990078493988642,0.002
1680,-6.84244807066062e-08,321255.37322370877,-0.17126354851355005,-0.17069880099514356,0.002,-6.848869877921098e-08,321356.1862275364,-0.17069876675079418,-0.17000065226997346,0.002
1681,-6.82999717082164e-08,321250.28964981803,-0.17136344541002965,-0.17079867258620154,0.002,-6.836636668432304e-08,321351.1037293389,-0.1707986384030182,-0.17010051960006053,0.002
1682,-6.81753550997526e-08,321245.21681456047,-0.17146334242683667,-0.1708985441772595,0.002,-6.824392390610956e-08,321346.0319671985,-0.17089851005529755,-0.17020038693014758,0.002
1683,-6.805063100321963e-08,321240.1547308106,-0.17156323956376085,-0.17099841576831748,0.002,-6.812137056896652e-08,321340.9709539888,-0.1709983817076322,-0.17030025426023465,0.002
1684,-6.79257995386481e-08,321235.1034114275,-0.1716631368205926,-0.17109828735937546,0.002,-6.799870679673494e-08,321335.92070256826,-0.17109825336002207,-0.17040012159032172,0.002
1685,-6.780086082493339e-08,321230.06286925566,-0.17176303419712272,-0.17119815895043342,0.002,-6.787593271248007e-08,321330.88122578035,-0.17119812501246706,-0.17049998892040877,0.002
1686,-6.767581498392506e-08,321225.0331171242,-0.17186293169314248,-0.1712980305414914,0.002,-6.775304844017548e-08,321325.85253645346,-0.17129799666496717,-0.17059985625049584,0.002
1687,-6.755066213610438e-08,321220.0141678472,-0.17196282930844373,-0.1713979021325494,0.002,-6.763005410351898e-08,321320.8346474008,-0.17139786831752235,-0.17069972358058288,0.002
1688,-6.74254024011052e-08,321215.0060342237,-0.1720627270428187,-0.17149777372360736,0.002,-6.750694982630986e-08,321315.8275714207,-0.17149773997013246,-0.17079959091066998,0.002
1689,-6.730003590034856e-08,321210.0087290377,-0.17216262489606018,-0.17159764531466531,0.002,-6.738373573241948e-08,321310.83132129617,-0.17159761162279744,-0.170899458240757,0.002
1690,-6.717456275328731e-08,321205.02226505795,-0.17226252286796137,-0.17169751690572332,0.002,-6.72604119451163e-08,321305.8459097953,-0.17169748327551734,-0.1709993255708441,0.002
